AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
48160043969,CITY OF LONDON,0,532950,181290,1,2 Passenger,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48160044008,CITY OF LONDON,0,532320,181190,1,3 Pedestrian,1 Male,25-59,46,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48160044600,CITY OF LONDON,0,533040,180830,1,3 Pedestrian,2 Female,0-15,13,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48160044638,CITY OF LONDON,0,532010,180940,2,2 Passenger,2 Female,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48160044638,CITY OF LONDON,0,532010,180940,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48160045019,CITY OF LONDON,0,533380,181380,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160046254,CITY OF LONDON,0,532680,180900,1,3 Pedestrian,1 Male,25-59,45,1,2 Serious,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48160046422,CITY OF LONDON,0,532390,181010,1,3 Pedestrian,2 Female,16-24,22,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160046668,CITY OF LONDON,0,532550,180790,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160046799,CITY OF LONDON,0,532900,181210,1,2 Passenger,2 Female,60+,63,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48160046812,CITY OF LONDON,0,533000,181050,1,3 Pedestrian,2 Female,16-24,18,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48160047132,CITY OF LONDON,0,531760,180840,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160047177,CITY OF LONDON,0,532300,181370,1,3 Pedestrian,2 Female,60+,65,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
48160048114,CITY OF LONDON,0,533570,180940,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160048590,CITY OF LONDON,0,532870,180840,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160048598,CITY OF LONDON,0,531430,180820,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160048683,CITY OF LONDON,0,532870,180780,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160048683,CITY OF LONDON,0,532870,180780,2,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160048708,CITY OF LONDON,0,532780,181770,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160048708,CITY OF LONDON,0,532780,181770,2,3 Pedestrian,2 Female,25-59,40,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160048994,CITY OF LONDON,0,533120,181330,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160049294,CITY OF LONDON,0,533380,180870,1,1 Driver/Rider,2 Female,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160049316,CITY OF LONDON,0,533470,181300,1,3 Pedestrian,1 Male,25-59,28,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48160049751,CITY OF LONDON,0,531640,181204,1,3 Pedestrian,1 Male,25-59,28,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48160049764,CITY OF LONDON,0,532820,180920,1,3 Pedestrian,2 Female,25-59,42,1,2 Serious,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian, 
48160050074,CITY OF LONDON,0,533260,181550,1,3 Pedestrian,1 Male,25-59,29,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
48160050304,CITY OF LONDON,0,533600,180940,1,1 Driver/Rider,2 Female,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160050361,CITY OF LONDON,0,532400,181180,1,1 Driver/Rider,1 Male,25-59,53,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160050699,CITY OF LONDON,0,533290,180730,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48160051299,CITY OF LONDON,0,532450,180971,1,3 Pedestrian,1 Male,25-59,51,1,2 Serious,10 Unknown,1 From Drivers N/Side,1 Pedestrian, 
48160051391,CITY OF LONDON,0,533810,180970,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160051398,CITY OF LONDON,0,532380,180830,1,1 Driver/Rider,2 Female,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160051511,CITY OF LONDON,0,533020,181060,1,3 Pedestrian,1 Male,25-59,31,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
48160051524,CITY OF LONDON,0,531400,181580,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160051604,CITY OF LONDON,0,532110,181850,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160051675,CITY OF LONDON,0,531460,180830,1,3 Pedestrian,1 Male,25-59,40,1,3 Slight,07 On Refuge,9 Unknown Or Other,1 Pedestrian, 
48160052533,CITY OF LONDON,0,532840,180720,1,1 Driver/Rider,2 Female,60+,87,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48160052549,CITY OF LONDON,0,531650,180540,1,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160052566,CITY OF LONDON,0,533340,181730,1,3 Pedestrian,2 Female,16-24,23,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160052652,CITY OF LONDON,0,533158,181366,1,3 Pedestrian,1 Male,16-24,20,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
48160052692,CITY OF LONDON,0,533280,181590,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160052789,CITY OF LONDON,0,531390,180830,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160052882,CITY OF LONDON,0,531640,181120,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160052893,CITY OF LONDON,0,532640,181100,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160053066,CITY OF LONDON,0,532710,181100,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160053078,CITY OF LONDON,0,533370,181820,1,3 Pedestrian,1 Male,25-59,38,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48160055546,CITY OF LONDON,0,532710,181520,1,3 Pedestrian,2 Female,25-59,36,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48160055568,CITY OF LONDON,0,531470,181450,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160055623,CITY OF LONDON,0,533180,180940,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160057113,CITY OF LONDON,0,531390,181180,1,3 Pedestrian,1 Male,16-24,21,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
48160057163,CITY OF LONDON,0,533380,181930,1,1 Driver/Rider,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160057181,CITY OF LONDON,0,531280,181300,1,1 Driver/Rider,1 Male,25-59,56,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160057235,CITY OF LONDON,0,533330,181670,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48160057279,CITY OF LONDON,0,533320,180710,1,1 Driver/Rider,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160057728,CITY OF LONDON,0,532160,181240,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160057747,CITY OF LONDON,0,533010,181620,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160057840,CITY OF LONDON,0,533210,181440,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160057933,CITY OF LONDON,0,532550,180790,1,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48160058363,CITY OF LONDON,0,531650,181060,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48160058384,CITY OF LONDON,0,532970,180960,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160058413,CITY OF LONDON,0,533210,181470,1,1 Driver/Rider,2 Female,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160058434,CITY OF LONDON,0,531890,181370,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160060119,CITY OF LONDON,0,531900,181370,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48160060177,CITY OF LONDON,0,531630,180830,1,1 Driver/Rider,1 Male,25-59,59,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160060462,CITY OF LONDON,0,533650,180950,1,1 Driver/Rider,2 Female,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48160061008,CITY OF LONDON,0,531330,180820,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160061019,CITY OF LONDON,0,533210,181430,1,1 Driver/Rider,1 Male,25-59,27,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160061054,CITY OF LONDON,0,532160,181590,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160061400,CITY OF LONDON,0,532410,181170,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160061418,CITY OF LONDON,0,532370,180990,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160061549,CITY OF LONDON,0,531890,181370,1,1 Driver/Rider,2 Female,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160061829,CITY OF LONDON,0,532740,181160,1,2 Passenger,2 Female,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48160061853,CITY OF LONDON,0,533260,181530,1,2 Passenger,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48160061921,CITY OF LONDON,0,532880,180810,1,3 Pedestrian,1 Male,25-59,41,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160062456,CITY OF LONDON,0,532840,180870,1,1 Driver/Rider,1 Male,25-59,40,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160062737,CITY OF LONDON,0,531730,181450,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160062802,CITY OF LONDON,0,532240,181020,1,3 Pedestrian,1 Male,60+,85,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
48160063257,CITY OF LONDON,0,532050,181820,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160063927,CITY OF LONDON,0,531500,181320,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160063946,CITY OF LONDON,0,532140,181850,1,3 Pedestrian,1 Male,25-59,50,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
48160064974,CITY OF LONDON,0,533015,180945,1,1 Driver/Rider,1 Male,16-24,24,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160066604,CITY OF LONDON,0,532760,181670,1,3 Pedestrian,2 Female,25-59,56,1,2 Serious,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
48160066636,CITY OF LONDON,0,531400,181570,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160066659,CITY OF LONDON,0,531980,181790,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160066765,CITY OF LONDON,0,532850,180870,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160066788,CITY OF LONDON,0,531170,181130,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160066933,CITY OF LONDON,0,531390,181560,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160066969,CITY OF LONDON,0,532890,181210,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160067022,CITY OF LONDON,0,531390,181570,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48160067144,CITY OF LONDON,0,531590,181420,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160068753,CITY OF LONDON,0,532280,181030,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160069112,CITY OF LONDON,0,531900,181370,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160069218,CITY OF LONDON,0,531620,180870,1,2 Passenger,1 Male,60+,61,1,2 Serious,-2 Unknown,-2 N/A,5 Taxi, 
48160069249,CITY OF LONDON,0,533000,181030,1,1 Driver/Rider,1 Male,60+,68,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160069547,CITY OF LONDON,0,533200,181440,1,2 Passenger,2 Female,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48160069570,CITY OF LONDON,0,533610,181190,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160069975,CITY OF LONDON,0,532100,181880,1,1 Driver/Rider,1 Male,25-59,28,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160069991,CITY OF LONDON,0,530970,181620,1,3 Pedestrian,1 Male,25-59,38,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160070040,CITY OF LONDON,0,532830,180850,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48160070135,CITY OF LONDON,0,533250,181530,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160070165,CITY OF LONDON,0,531420,181560,1,3 Pedestrian,2 Female,25-59,50,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
48160070257,CITY OF LONDON,0,533330,181130,1,3 Pedestrian,2 Female,25-59,34,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
48160070456,CITY OF LONDON,0,533070,181260,1,1 Driver/Rider,1 Male,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160070488,CITY OF LONDON,0,533660,180940,1,1 Driver/Rider,1 Male,25-59,56,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
48160070781,CITY OF LONDON,0,531570,181570,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160070796,CITY OF LONDON,0,532790,180980,1,3 Pedestrian,2 Female,60+,60,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48160071827,CITY OF LONDON,0,533601,181184,1,1 Driver/Rider,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160071847,CITY OF LONDON,0,532820,181190,1,3 Pedestrian,2 Female,25-59,50,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48160071859,CITY OF LONDON,0,531780,181160,1,3 Pedestrian,1 Male,25-59,56,1,3 Slight,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian, 
48160072469,CITY OF LONDON,0,532340,181190,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160072527,CITY OF LONDON,0,531600,181360,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160072539,CITY OF LONDON,0,533290,180730,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160072539,CITY OF LONDON,0,533290,180730,2,3 Pedestrian,2 Female,25-59,29,1,3 Slight,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
48160073907,CITY OF LONDON,0,531610,180870,1,3 Pedestrian,1 Male,25-59,40,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160074856,CITY OF LONDON,0,532690,181460,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160074856,CITY OF LONDON,0,532690,181460,2,3 Pedestrian,2 Female,25-59,34,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
48160075025,CITY OF LONDON,0,533150,180790,1,3 Pedestrian,1 Male,16-24,24,1,3 Slight,08 In Centre Of Carriageway,3 From Drivers O/Side,1 Pedestrian, 
48160076307,CITY OF LONDON,0,531280,181300,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160076344,CITY OF LONDON,0,532900,180710,1,1 Driver/Rider,2 Female,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160076425,CITY OF LONDON,0,533190,181400,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160077354,CITY OF LONDON,0,532140,180860,1,1 Driver/Rider,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160077378,CITY OF LONDON,0,532610,181290,1,1 Driver/Rider,2 Female,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160077921,CITY OF LONDON,0,532830,180700,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160078416,CITY OF LONDON,0,531640,181070,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160078416,CITY OF LONDON,0,531640,181070,2,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160079141,CITY OF LONDON,0,531220,180820,2,2 Passenger,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48160079141,CITY OF LONDON,0,531220,180820,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48160079247,CITY OF LONDON,0,532100,181290,1,3 Pedestrian,1 Male,16-24,20,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160079274,CITY OF LONDON,0,533070,181470,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
